icao_code,group,latitude,longitude,change
VOCI,G3,10.152,76.401901,6472
UKFF,G3,45.0522,33.975101,5499
KLEX,G3,38.0364990234375,-84.6059036254883,2386.16666666667
CYEG,G3,53.3097000122,-113.580001831,1956
KMHE,G3,43.7747993469,-98.0385971069,1801
CRK2,G3,53.0778,-113.506601,1520.5
CFQ7,G3,53.2817001343,-113.455001831,1258
KFGX,G3,38.5418014526,-83.7434005737,973
KMNV,G3,35.5453987121582,-84.3802032470703,958
SD46,G3,43.8333015441895,-96.8503036499024,953
UKLL,G3,49.8125,23.9561004638672,708
KFFA,G3,36.0181999207,-75.6713027954,635
K3M3,G3,35.0430984,-85.0218964,625
KCHA,G3,35.0353012084961,-85.2037963867187,587
FL95,G3,27.7085990905762,-80.4527969360352,571.083333333333
2SD7,G3,43.3333015441895,-97.0627975463867,558
UNNT,G3,55.012599945068,82.650703430176,545.5
HECA,G3,30.1219005584717,31.4055995941162,541
UNCC,G3,55.0917015075684,82.9067001342773,530
LS76,G3,30.4626998901367,-90.1700973510742,505
K27K,G3,38.234405,-84.434702,455.25
KVRB,G3,27.6556,-80.417901,445.333333333333
LTAF,G3,36.9822006226,35.2803993225,414.25
HE15,G3,29.8225002288818,31.3309001922607,412
82VA,G3,38.1731986999512,-78.9692001342773,398.25
KMOB,G3,30.691200256348,-88.242797851562,389.5
4MS5,G3,31.0013999938965,-88.5169982910156,381
KFPR,G3,27.49510002,-80.36830139,379.5
KLNL,G3,46.15399933,-89.21209717,368
8KY3,G3,37.661111,-84.9925,359
KIWD,G3,46.5275001526,-90.131401062,342
FD25,G3,27.5625,-80.4998016357422,340.5
KMQI,G3,35.91899872,-75.69550323,339
ORMM,G3,30.5491008758545,47.6621017456055,332
KAPN,G3,45.0780983,-83.56030273,330
PR07,G3,18.2019,-65.839104,323
KLCI,G3,43.572701,-71.4189,319.357142857143
KOGD,G3,41.195899963379,-112.0120010376,300.666666666667
SD75,G3,43.5910987854004,-98.4520034790039,299
LRCL,G3,46.785198,23.686199,298.857142857143
EGQK,G3,57.6493988037,-3.56064009666,290
KX26,G3,27.8125991821289,-80.4959030151367,268.814814814815
9SD8,G3,43.5833015441895,-96.9503021240234,241.8125
76KY,G3,38.0148010253906,-84.8415985107422,240
4MS7,G3,34.7484016418457,-90.2807998657227,231.4
ENTO,G3,59.1866989136,10.258600235,231.365384615385
GA03,G3,34.869499206543,-85.1996994018555,230.75
ME68,G3,44.8200988769531,-69.2384033203125,229
SD99,G3,43.625,-96.7502975463867,227.095238095238
CA44,G3,36.1498985290527,-118.802001953125,223
HEAZ,G3,30.0918006896973,31.3600006103516,215.25
39MI,G3,46.1688003540039,-88.1724014282227,215
KL17,G3,35.1411018371582,-119.44100189209,210
KLYV,G3,43.621200561523,-96.215797424316,204.25
TN72,G3,35.8459014892578,-83.4817962646484,202.5
OR78,G3,44.2720985412598,-123.060997009277,202
TN65,G3,35.6664009094,-86.4852981567,202
CYVB,G3,48.0710983276367,-65.4602966308594,187
K50D,G3,46.0091018676758,-88.2739028930664,185.5
SBAF,G3,-22.875099,-43.384701,176
IA33,G3,43.0119018554688,-93.2424011230469,168
KAGZ,G3,43.0633010864258,-98.2962036132812,168
TJSJ,G3,18.4393997192,-66.0018005371,164.704225352113
KCDH,G3,33.6227989197,-92.7633972168,163
KRPD,G3,45.418999,-91.773499,161.25
94WA,G3,47.0848007202149,-123.774002075195,161
ENAE,G3,61.257401,11.6689,158
LTAG,G3,37.0021018982,35.4258995056,156
KMZH,G3,46.4188003540039,-92.8047027587891,151
ESGS,G3,59.0167999268,11.3437004089,150
FL74,G3,27.5986003875732,-80.5019989013672,146.4375
KPIB,G3,31.4671001434326,-89.3370971679687,145
NZFP,G3,-40.4566993713379,175.270004272461,142.222222222222
K0R0,G3,31.297000885,-89.8127975464,142
KPQL,G3,30.462799072266,-88.529197692871,140.2
FD30,G3,27.4113998413086,-80.5261993408203,136
K9A5,G3,34.6885986328125,-85.290397644043,130
3GA3,G3,34.871111,-85.4375,128
8AR0,G3,34.5125999450684,-91.5640029907227,127
MN04,G3,45.7736015319824,-95.2628021240234,120
EGPE,G3,57.5424995422363,-4.0475001335144,117.166666666667
5XS6,G3,26.1753997802734,-97.8752975463867,115
MY12,G3,43.8807983398438,-96.2530975341797,114
70FA,G3,27.562175,-80.5993694,113.466666666667
4MD3,G3,38.4397010803223,-75.1594009399414,113
YSWL,G3,-37.0717010498047,142.740997314453,112
3SD4,G3,43.4655990600586,-96.8632965087891,109.75
KMLJ,G3,33.154202,-83.240701,109.666666666667
SC98,G3,33.0542984008789,-80.0833969116211,109.375
KFSD,G3,43.5820007324,-96.741897583,109.375
K3T3,G3,45.0439987183,-92.020401001,109
KARV,G3,45.92789841,-89.73090363,108.2
KPMU,G3,34.36349869,-89.89260101,107.5
FL23,G3,27.4974994659424,-80.5298004150391,106.25
6XS5,G3,26.3087005615234,-97.9543991088867,105
SD03,G3,44.0504989624023,-97.3350982666016,103
5CL7,G3,34.3081016540527,-114.186996459961,101
KMCB,G3,31.178499,-90.471901,101
AR01,G3,33.1085014343262,-91.2500991821289,100
KEUG,G3,44.1245994567871,-123.21199798584,99.90625
OR47,G3,44.1883010864258,-123.189002990723,99.0333333333333
K1M2,G3,33.1451988220215,-90.5152969360352,99
CEX3,G3,52.9650001526,-113.411003113,99
CEQ3,G3,53.0402984619141,-112.81600189209,98
9SD9,G3,43.8065986633301,-96.7089004516602,97.625
EPKO,G3,54.0425,16.2656,95
2MT0,G3,48.2999992370606,-114.414001464844,94.5714285714286
48WI,G3,45.7938003540039,-89.7301025390625,94.3333333333333
36KY,G3,37.6556015014649,-85.1538009643555,94.3333333333333
KHLX,G3,36.7661018371582,-80.823600769043,94
EGPA,G3,58.9578018188477,-2.90499997138977,93
LA07,G3,30.5174999237061,-90.00830078125,93
LRAR,G3,46.1766014099121,21.261999130249,93
12TN,G3,35.8236999511719,-84.5388031005859,93
OG48,G3,44.1958999633789,-123.072998046875,92.5
36OR,G3,44.0032997131348,-122.879997253418,91.5
MS77,G3,33.3317985534668,-90.6432037353516,91
TN12,G3,35.4735984802246,-86.6800003051758,91
KEGV,G3,45.9323005676,-89.2683029175,90.9230769230769
KOLM,G3,46.9693985,-122.9029999,90.7959183673469
6AK3,G3,60.7294006347656,-151.27799987793,90.4666666666667
KIDL,G3,33.485699,-90.678902,89.3333333333333
CES2,G3,45.9144,-73.672395,88.4666666666667
3NC6,G3,35.3117980957,-80.644203186,87.7575757575758
KMDS,G3,44.01599884,-97.08589935,87.75
KM89,G3,34.0998001099,-93.0661010742,87.3333333333333
KCON,G3,43.20270157,-71.50229645,87.3061224489796
8AK2,G3,60.7024993896484,-151.294006347656,86.5454545454545
59WA,G3,46.850399017334,-122.935997009277,86.5
K77S,G3,43.9308013916016,-123.00700378418,85.8333333333333
CEH3,G3,52.6516990661621,-113.606002807617,84.5
KRNV,G3,33.76110077,-90.75789642,84.0327868852459
98TN,G3,36.1425,-83.604167,83.5
MS09,G3,34.1017990112305,-90.7012023925781,82.3333333333333
MS21,G3,33.3320999145508,-90.5820007324219,82
KDSM,G3,41.5340003967285,-93.6631011962891,80.9777777777778
K7G9,G3,43.308899,-96.570999,80.3333333333333
VT42,G3,44.5125999450684,-72.6071014404297,79
20WA,G3,46.8247985839844,-123.035003662109,79
AL74,G3,30.7644004821777,-88.3058013916016,79
33OR,G3,44.0637016296387,-123.390998840332,78.6
WI18,G3,45.13330078125,-91.4502029418945,78
TS05,G3,26.0837,-97.950302,77.5
9NC3,G3,35.07080078125,-80.5663986206055,77.125
5IA5,G3,43.1430015563965,-92.8779983520508,77
MS10,G3,33.1585006713867,-90.5043029785156,77
CAM4,G3,52.346194,-114.667525,76.5
24AR,G3,34.1981010437012,-90.9527969360352,75
MS38,G3,33.8722991943359,-90.2834014892578,75
K5R2,G3,30.3894004821777,-88.7534027099609,75
NC02,G3,35.2126007080078,-81.8665008544922,74.3333333333333
WI12,G3,45.706600189209,-91.6249008178711,73
YCUA,G3,-33.2783012390137,148.763000488281,73
NC21,G3,34.9917984008789,-80.7483978271484,72.6363636363636
5MI2,G3,44.0772018433,-85.4375991821,72.3
7FL8,G3,27.4438991546631,-80.5651016235352,72
CEE6,G3,53.4710998535,-113.153999329,72
ESGR,G3,58.4564018249512,13.9727001190186,71
KCOQ,G3,46.701099395752,-92.5036010742188,71
YEUA,G3,-36.7447013855,145.513000488,71
KAAS,G3,37.3582992553711,-85.3094024658203,70
NH20,G3,43.4922981262207,-71.6458969116211,68.5714285714286
FL75,G3,27.5419998168945,-80.8330993652344,68.5
K0A7,G3,35.3075981140137,-82.4331970214844,68.3076923076923
YMDG,G3,-32.5625,149.610992432,67.3333333333333
K33M,G3,34.1668014526367,-89.6862030029297,66.4
MS61,G3,30.6252002716064,-89.7333984375,65
KGKT,G3,35.85779953,-83.5287017822,64.5714285714286
MS22,G3,33.4889984130859,-90.3570022583008,63.5
34MS,G3,30.4738006591797,-88.6961975097656,62.7142857142857
02CD,G3,34.1296005249023,-90.5240020751953,62.2857142857143
KFMY,G3,26.58659935,-81.8632965088,62.2150997150997
KGHW,G3,45.6439018249512,-95.3203964233398,62
6WI0,G3,45.1805000305176,-91.9877014160156,62
YWBL,G3,-38.2952995300293,142.447006225586,61.6
KLUM,G3,44.8922996520996,-91.8678970336914,61.5
EPST,G3,50.626598,21.997848,61.5
2AL6,G3,30.491981,-88.197307,61.1
KN66,G3,42.5247,-75.0644,60.4
7NC2,G3,36.2535018921,-75.7884979248,60.3548387096774
OR79,G3,44.289299,-123.130997,60.25
EYSI,G3,55.3368988037109,21.5305995941162,59.5714285714286
VT44,G3,44.5266990661621,-72.5814971923828,59
YOBR,G3,-31.9652996063232,152.591003417969,59
MD00,G3,38.046199798584,-75.5532989501953,59
FL56,G3,27.408899307251,-80.4278030395508,58.6666666666667
K4R1,G3,31.0154991149902,-89.4825973510742,58.5
KRKW,G3,35.9222984314,-84.6896972656,57.5384615384615
VA00,G3,37.9281997680664,-79.1781005859375,57.5
MS66,G3,30.4459991455078,-88.9259033203125,57.3809523809524
SD42,G3,43.5666007995606,-97.5336990356445,57.3333333333333
AL09,G3,34.5334014892578,-85.590202331543,57
KIMS,G3,38.75889969,-85.46549988,56.8536585365854
KRME,G3,43.23379898,-75.40699768,56.7450980392157
4OA8,G3,40.1086006164551,-84.2996978759766,56.5
K4R9,G3,30.2604999542236,-88.1275024414063,56.2608695652174
FL29,G3,27.3612003326416,-80.5708999633789,56
KGLH,G3,33.4828987121582,-90.9856033325195,55.6538461538462
K2R5,G3,30.50189972,-88.27510071,55.5
6TE0,G3,26.2903003692627,-97.9494018554688,55.3333333333333
0AR7,G3,33.9501,-91.181198,55
KD25,G3,46.1220016479492,-89.8823013305664,54
23LA,G3,30.630199432373,-90.0794982910156,53.5
15WI,G3,42.9275016784668,-89.4181976318359,53.5
14AR,G3,35.0527992249,-90.6750030518,53
KLUX,G3,34.5070991516113,-81.9471969604492,53
OR57,G3,43.8686981201172,-123.033996582031,52.5
73WI,G3,45.2405014038086,-91.5087966918945,52
ENTS,G3,61.2292785644531,12.2664070129395,51
14MI,G3,42.850899,-85.567001,50.3804878048781
8KY0,G3,38.3967018127441,-84.4636001586914,50
FA36,G3,29.5126991271973,-82.8748016357422,49.5
8VA6,G3,37.7382011413574,-78.9621963500977,49
LICG,G3,36.816502,11.9689,49
KAPF,G3,26.1525993347,-81.7752990723,48.8472222222222
MS41,G3,34.0000991821289,-90.4251022338867,48.6666666666667
KUBE,G3,45.5060005187988,-91.9811019897461,47.9166666666667
KHBG,G3,31.26479912,-89.25279999,47.3636363636364
KHQU,G3,33.52970123,-82.51650238,47.3333333333333
93MS,G3,33.9715995789,-90.7682037354,47
KJAU,G3,36.334599,-84.1623,47
KMLB,G3,28.1028003692627,-80.6453018188477,46.8514588859417
KCKM,G3,34.2997016907,-90.512298584,46.75
VG22,G3,37.878819,-78.893558,46.6
KHZX,G3,46.6188011169434,-93.3097991943359,46.5
8TN2,G3,35.3988990783691,-86.5539016723633,46.2857142857143
YBLM,G3,-31.1186008453369,138.725997924805,46
AR10,G3,34.8067016601563,-91.6082992553711,46
MS33,G3,33.4168014526367,-90.494499206543,46
MS40,G3,33.2256011962891,-90.246696472168,46
95MI,G3,44.087026,-85.7307415,45.7222222222222
KM24,G3,30.8432006835937,-89.159797668457,45.6666666666667
YLCS,G3,-36.814998626709,145.348007202148,45.625
DE21,G3,38.5172996520996,-75.1654968261719,45.5294117647059
26AL,G3,30.6242008209229,-88.2786026000977,45.2
KSSQ,G3,45.73139954,-91.92070007,44.75
NC28,G3,36.2001991271973,-76.2358016967773,44.375
KY14,G3,43.4575004577637,-96.802001953125,44.0952380952381
1AR2,G3,34.9868011474609,-91.5503005981445,44
NZWB,G3,-41.5182991027832,173.869995117188,43.75
12AR,G3,34.515444,-90.973722,43.6666666666667
DE27,G3,38.4626007080078,-75.1748962402344,43.25
62AL,G3,30.6835,-88.372002,43
3WN8,G3,44.9356002807617,-91.4307022094727,43
SC40,G3,35.0573005676269,-81.9448013305664,42.7045454545455
KRNC,G3,35.69869995,-85.84380341,42.6666666666667
NK01,G3,43.9995002746582,-75.6048965454102,42.6666666666667
0MS8,G3,33.6992988586426,-91.1651000976562,42
94NH,G3,43.47645,-71.7474,41.5
KMMS,G3,34.2314987183,-90.2895965576,41.4545454545455
79MI,G3,46.980073,-88.549571,41.4
VIPT,G3,29.0334,79.473701,41.25
9OR0,G3,44.3151016235352,-123.025001525879,41
90AR,G3,33.9250984191894,-91.5111999511719,41
ME41,G3,44.1525993347168,-68.8764038085938,40.9375
83FD,G3,27.5802993774414,-80.815299987793,40.375
KM32,G3,33.3460006713867,-91.3156967163086,40.2857142857143
ME55,G3,44.0736999512,-68.818901062,40.2
19KY,G3,38.7065010070801,-84.5998992919922,40.1666666666667
ESSI,G3,58.0984001159668,14.4026002883911,40
K4A9,G3,34.4737014770508,-85.7213973999023,40
WN48,G3,46.7904014587402,-123.309997558594,40
AL94,G3,30.8127002716064,-88.377197265625,40
AR18,G3,34.7715,-90.840401,39.5
DE23,G3,38.750301361084,-75.3600006103516,39.3214285714286
SDCU,G3,-22.5541667938232,-42.1150016784668,39
KEHO,G3,35.25559998,-81.60099792,38.5357142857143
KL19,G3,35.619701385498,-119.353996276855,38.40625
II53,G3,38.7703018188477,-85.4847030639649,38.3
KL45,G3,35.32479858,-118.9960022,38.1666666666667
1MI1,G3,46.7027015686035,-88.9973983764648,38
NC43,G3,34.1251983642578,-78.3380966186523,38
KSGT,G3,34.599499,-91.574997,37.7142857142857
MS37,G3,33.6534004211426,-90.9889984130859,37.1111111111111
90FL,G3,27.3612003326416,-80.7609024047852,37
VG06,G3,37.7251014709473,-79.0830993652344,37
0TS8,G3,26.1504001617432,-97.8835983276367,37
2KY8,G3,38.105598449707,-84.8499984741211,36.9
24NC,G3,35.1272010803,-80.4749984741,36.7857142857143
WI05,G3,44.8083000183105,-91.6844024658203,36.75
2MI5,G3,42.9416999816895,-85.4863967895508,36.56
