icao_code,long_destination,medium_destination,short_destination,latitude,longitude,group
KLCK,1,0,0,39.813801,-82.927803,A
KPDK,1,1,0,33.8755989075,-84.3020019531,A
LYBE,1,0,0,44.8184013367,20.3090991974,A
RPUF,0,0,0,14.98724,120.492554,A
WN61,0,0,1,47.7252006530762,-117.279998779297,A
KATL,19,4,2,33.6367,-84.428101,A
KGRR,0,0,0,42.88079834,-85.52279663,A
KLSV,0,1,0,36.2361984253,-115.033996582,A
KUDD,0,0,1,33.748401641846,-116.27500152588,A
LFPG,170,1,29,49.012798,2.55,A
LIML,0,0,0,45.445099,9.27674,A
UNEE,0,0,0,55.2700996398926,86.1072006225586,A
KMSP,5,3,4,44.882,-93.221802,A
LOWW,41,1,3,48.110298156738,16.569700241089,A
EDDK,6,0,2,50.8658981323,7.1427397728,A
EIBA,0,0,0,53.5055556,-6.2377778,A
UUBW,0,0,1,55.553299,38.150002,A
KLOU,0,0,0,38.2280006409,-85.6636962891,A
KWHP,0,5,0,34.2593002319,-118.413002014,A
OETH,3,1,1,25.2129993438721,46.640998840332,A
OMAD,1,0,0,24.4283008575439,54.4580993652344,A
SBSJ,0,0,0,-23.2292003631592,-45.861499786377,A
KFTG,10,3,0,39.784194,-104.537639,A
KPSP,0,2,1,33.8297004699707,-116.50700378418,A
OTHH,168,16,77,25.273056,51.608056,A
PHOG,2,1,0,20.8986,-156.429993,A
13CL,0,0,0,38.3813018798828,-121.823997497559,A
KMYF,0,1,0,32.8157,-117.139999,A
EDAM,1,0,0,51.363056,11.940833,A
KHEF,0,1,0,38.72140121,-77.51540375,A
KNZY,1,0,0,32.69919968,-117.2149963,A
SKGY,0,0,0,4.81233,-74.0649,A
VOBL,5,3,7,13.1979,77.706299,A
8MI4,0,0,0,43.4958992004395,-85.5736999511719,A
UIII,0,17,0,52.268001556396,104.38899993896,A
CN29,0,1,0,37.9351997375488,-121.014999389648,A
KCCB,0,1,0,34.1115989685,-117.68800354,A
KF48,0,0,0,33.7739982604981,-97.7380981445312,A
KPWK,0,0,0,42.114222,-87.901494,A
CNC3,0,1,0,43.7603,-79.875,A
UTTT,0,1,0,41.257900238,69.2811965942,A
KBLM,0,0,0,40.18690109,-74.12490082,A
KBUR,0,3,0,34.2006988525391,-118.359001159668,A
KMMK,0,0,1,41.5087013244629,-72.8294982910156,A
KTIK,0,1,0,35.414699554443,-97.386596679688,A
LDZA,0,0,0,45.7429008484,16.0687999725,A
LFLL,0,0,0,45.725556,5.081111,A
LIED,0,0,0,39.354198,8.97248,A
OMAA,58,0,1,24.4330005645752,54.6511001586914,A
PANC,102,10,5,61.1744003295898,-149.996002197266,A
RJAA,40,2,0,35.764702,140.386002,A
NY62,0,1,0,43.1458015441895,-75.5419006347656,A
OPKC,1,0,0,24.9065,67.160797,A
SBSG,1,0,0,-5.768056,-35.376111,A
WSSS,37,6,7,1.35019,103.994003,A
KFXE,0,2,1,26.1972999573,-80.1707000732,A
KOAK,15,29,2,37.721298,-122.221001,A
RJOA,3,1,0,34.4361,132.919006,A
SSNG,1,0,0,-29.7194004058838,-51.4893989562988,A
KMPO,0,0,0,41.137503,-75.378897,A
KNGU,1,0,0,36.937599,-76.289299,A
FALA,0,0,0,-25.9384994507,27.9260997772,A
KACK,0,1,0,41.25310135,-70.06020355,A
KH92,0,0,0,36.442699432373,-96.3871994018555,A
KSJC,14,18,3,37.362598,-121.929001,A
LCPH,0,0,0,34.7179985046387,32.4856986999512,A
6NJ9,0,1,0,39.7918014526367,-75.3746032714844,A
KETN,0,0,0,32.4135017395,-98.8097991943,A
LTBA,36,3,9,40.976898,28.8146,A
VIDP,73,19,4,28.5665,77.103104,A
KMKC,0,3,1,39.1231994628906,-94.5927963256836,A
LKSZ,0,0,0,50.324699,14.2589,A
CZBB,0,0,0,49.0742,-123.012001,A
KCMA,0,2,1,34.2136993408203,-119.09400177002,A
SADZ,1,0,0,-34.7261,-58.5011,A
WIDD,6,0,0,1.12102997303,104.119003296,A
SPNO,0,0,1,-11.7946996688843,-77.1809005737305,A
